STT	Tr¶ lêi	C©u Hái		B	C	D
1	A	Vâ l©m truyÒn kú ra m¾t hÖ thèng bang héi thêi gian nµo?	21-01-2008	18-01-2008	15-02-2008	19-02-2008
2	A	MËt TÞch nµo gióp ta t¨ng ®iÓm tiÒm n¨ng?	TÈy Tñy Kinh	Vâ L©m MËt TÞch	Bµn Nh­îc T©m Kinh	ThiÕt La H¸n
3	A	Tö Thñy Tinh cã chøc n¨ng g×?	N©ng CÊp Trang BÞ	Ma ThuËt Trang BÞ	§æi HÖ Trang BÞ	Kh«ng Cã Chøc N¨ng G×
4	A	Ngùa Hoa L­[CÊp 9] ®­îc b¸n ë thµnh nµo?	D­¬ng Ch©u	Ph­îng T­êng 	Thµnh §«	T­¬ng D­¬ng
5	A	Khi rót 10 ®iÓm phóc duyªn ë thÇn bÝ th­¬ng nh©n ta mÊt mÊy ®iÓm?	12	8	10	15
6	A	Ngùa nµo sau ®©y cã "Tèc ®é di chuyÔn 40%"?	Ngäc Hoa Th«ng	B¹ch M·	¤ Chïy	LiÖt B¹ch M·
7	A	Sau khi online mÊy giê th× ng­êi ch¬i míi nhËn ®­îc ®iÓm phóc duyªn?	2 giê	1 giê	4 giê	3 giê
8	A	Mét ngµy cã thÓ ®¸nh mÊy trËn Tèng-Kim?	7	6	5	8
9	A	D· TÈu cã tèi ®a bao nhiªu nhiÖm vô?	12	16	9	13
10	A	Sinh nhËt vâ l©m vµo ngµy, th¸ng nµo?	15-6	24-12	14-6	15-7
11	A	Cã bao nhiªu tr­êng ph¸i chuyªn vÒ kiÕm trong vâ l©m?	3	2	1	4
12	A	NhiÖm vô Boss S¸t thñ "Liªn H×nh Th¸i" n»m ë map nµo?	Tr­êng B¹ch Nam	Tr­êng B¹ch B¾c 	Kháa Lang §éng	TiÕn Cóc §éng
13	A	Muèn hîp thµnh s¸t thñ gi¶n tèn bao nhiªu s¸t thñ lÖnh?	5	4	7	9
14	A	Trong phiªn b¶n Phong Háa Liªn Thµnh, 1 ngµy b¹n cã thÓ ®i mÊy lÇn "thö luyÖn s¸t thñ"?	2	5	3	4
15	A	Tõ §¹i Lý b¹n cã thÓ ®i vµo n¬i tÝn sø nµo?	C¶ 3 n¬i	Phong K×	Më B¶o R­¬ng	S¬n ThÇn MiÕu
16	A	Tam Hoa T¸n cã t¸c dông g×?	gi¶i ®éc	t¨ng néi lùc	t¨ng thÓ lùc	t¨ng sinh lùc
17	A	Thõa Tiªn MËt cã t¸c dông g×?	t¨ng sinh lùc vµ néi lùc	t¨ng néi lùc	t¨ng thÓ lùc	t¨ng sinh lùc
18	A	Cã bao nhiªu lo¹i d­îc hoµn PK?	10	8	6	3
19	A	Long M«n TrÊn l­u r­¬ng ë thµnh nµo?	BiÖn Kinh	§¹i lý	T­¬ng D­¬ng	Thµnh §«
20	A	§i xa phu tõ VÜnh L¹c TrÊn lªn Ph­îng T­êng tèn nhiªu l­îng?	100	300	200	500
21	A	Ng­êi ch¬i trªn ®¼ng cÊp 25 nhËn s­ phô th× ®­îc goi lµ?	trùc hÖ ®Ö tö	phæ th«ng ®Ö tö	§Ých truyÒn ®Ö tö	TÊt c¶ c©u tr¶ lêi trªn ®Òu sai
22	A	Quû §Çu §ao lµ vò khÝ cÊp mÊy?	3	2	1	4
23	A	V­¬ng ThiÕt T­îng lµ thî rÌn thµnh nµo?	BiÖn Kinh	L©m An	T­¬ng D­¬ng	§¹i Lý
24	A	Muèn ®æi TÝn Sø LÖnh Bµi B¹c Tèn nhiªu ®iÓm tÝn sø?	450	350	400	300
25	A	QuÕ Hoa Töu cã hiÖu lùc trong bao l©u?	1800s	1200s	3600s	2400s
26	A	TrËn Tèng Kim thø t­ trong ngµy b¾t ®Çu lóc mÊy giê?	17h30	11h30	16h30	14h30
27	A	Vâ l©m truyÒn kú cã tæng céng bao nhiªu th«n trÊn?	10	8	9	7
28	A	Sinh nhËt vâ l©m truyÒn kú vµo th¸ng mÊy?	6	5	7	8
29	A	Vâ l©m truyÒn kú cã tæng céng bao nhiªu D· TÈu?	15	16	10	20
30	A	B¹n cÇn gÆp ai ®Ó kÕt b¸i kim lan?	TÜnh ®èc thiÒn s­	Vâ l©m truyÒn nh©n	NguyÖt l·o	Tõ V©n ph¸p s­
31	A	ThiÕu L©m Tù täa l¹c ë ngän nói nµo?	ThiÕu thÊt	Tung s¬n	Th¸i s¬n	Thiªn s¬n
32	A	Bang héi nµo ®o¹t h¹ng 4 ë gi¶i THDNB lÇn 1?	PhóHé (Thiªn S¬n)	TiÕuNg¹o (Cöu Giang)	TrgGiang (Tr­êngGiang)	HångH­ng (Kim S¬n)
33	A	Bang héi nµo ®o¹t h¹ng 4 ë gi¶i THDNB lÇn 2?	PhóHé (Thiªn S¬n)	MaGi¸o (Ch©uGiang)	*** (Kh¸nh S¬n)	TrgGiang (Tr­êngGiang)
34	A	Bang héi nµo ®o¹t h¹ng 2 ë gi¶i THDNB lÇn 1?	HångH­ng (Kim S¬n)	TiÒuNg¹o (Cöu Giang)	TrgGiang (Tr­êngGiang)	PhóHé (Thiªn S¬n)
35	A	Bang héi nµo ®o¹t h¹ng 1 ë gi¶i THDNB lÇn 2?	*** (Kh¸nh S¬n)	MaGi¸o (Ch©uGiang)	PhóHé (Thiªn S¬n)	TrgGiang (Tr­êngGiang)
36	A	Trong vâ l©m truyÒn kú bang héi nµo ®­îc lËp ra ®Çu tiªn?	Ph¸ Thiªn (Tung S¬n)	ViÖt kiÕm (Th¸i S¬n)	§«ng §« (Hoa S¬n)	Tiªu Diªu (Kim S¬n)
37	A	Vâ l©m truyÒn kú cã tèi ®a bao nhiªu kªnh t¸n gÉu ?	8	6	4	10
38	A	Bang héi nµo ®o¹t h¹ng 1 ë gi¶i THDNB lÇn 1?	TrgGiang-Tr­êngGiang	TiÒuNg¹o-Cöu Giang	HångH­ng-Kim S¬n	PhóHé-Thiªn S¬n
39	A	Bang héi nµo ®o¹t h¹ng 2 ë gi¶i THDNB lÇn 2?	TamHoµng-Hµnh S¬n	MaGi¸o-Ch©uGiang	***-Kh¸nh S¬n	TrgGiang-Tr­êngGiang
40	A	§iÓm danh väng cã bao nhiªu ®¼ng cÊp?	8	6	4	10
41	A	Vâ l©m truyÒn kú cã bao nhiªu NPC Long Ngò?	8	7	9	10
42	A	Vâ l©m truyÒn kú hiÖn t¹i cã bao nhiªu ph­¬ng thøc liªn ®Êu?	6	5	4	7
43	A	T¨ng mét ®iÓm sinh khÝ cña hÖ Kim ®­îc bao nhiªu sinh lùc?	8	5	7	3
44	A	T¨ng mét ®iÓm sinh khÝ cña hÖ Méc ®­îc bao nhiªu sinh lùc?	5	3	7	8
45	A	T¨ng mét ®iÓm sinh khÝ cña hÖ Háa ®­îc bao nhiªu sinh lùc?	7	5	3	8
46	A	T¨ng mét ®iÓm sinh khÝ cña hÖ thñy ®­îc bao nhiªu sinh lùc?	6	3	7	8
47	A	T¨ng mét ®iÓm sinh khÝ cña hÖ thæ ®­îc bao nhiªu sinh lùc?	3	5	7	8
48	A	¡n Thiªn S¬n TuyÕt Liªn sÏ ®­îc kho¶ng bao nhiªu ®iÓm kinh nghiÖm?	1,4 tû-1,5 tû	1,3 tû-1,4 tû	1,2 tû-1,3 tû	1,5 tû-1,6 tû
49	A	§Ó cã ®­îc 2 cÆp s­ ®å th× 4 ng­êi cÇn Ýt nhÊt bao nhiªu S­ §å ThiÕp?	1	3	2	4
50	A	Tæng sè boss tiÓu HK céng víi tæng sè m«n ph¸i toµn n÷ giíi b»ng bao nhiªu?	5	9	7	11
51	A	Nh©n vËt ch­a tõng gÆp Ph¹n T¨ng, cÇn bao nhiªu viªn THBT vµ Thñy Tinh ®Ó lªn ®¶o tÈy tñy?	TÊt c¶ c©u tr¶ lêi trªn ®Òu sai	6	3	9
52	A	Cã bao nhiªu ph¸i cã thÓ cÇm ®ao?	10	8	6	4
53	A	Phiªn b¶n S¬n Hµ X· T¾c ra m¾t trong thêi gian nµo?	30-3-2006	26-3-2006	2-4-2006	26-3-2008
54	A	Cã bao nhiªu ph¸i b¾t buéc ph¶i xuèng ngùa míi xµi ®­îc chiªu 90?	5	4	9	10
55	A	Nh÷ng vËt phÈm nµo sau ®©y kh«ng sö dông ®­îc trªn M¹c B¾c Th¶o Nguyªn?	T©m T©m T­¬ng ¸nh Phï	Tèng Kim Chiªu Th­	S­ §å ThiÕp	B¹ch C©u Hoµn
56	A	KiÕn TÝnh Phong S¬n ®éng l­u r­¬ng ë ®©u ®Ó trë l¹i ®Þa ®iÓm cò ®­îc?	TÊt c¶ c©u tr¶ lêi trªn ®Òu sai	BiÖn Kinh	Ph­îng T­êng	Thµnh §«
57	A	Tõ T­¬ng D­¬ng ®i xa phu qua BiÖn Kinh, råi tiÕp tôc ®i xa phu qua L©m An tèn bao nhiªu?	700 l­îng	800 l­îng	900 l­îng	1000 l­îng
58	A	Mãn nµo ®­îc yªu cÇu trong nhiÖm vô giao kho¸ng?	L­îng Ng©n Kho¸ng	MËt Ng©n Kho¸ng	HuyÒn ThiÕt Kho¸ng	Chu Sa Kho¸ng
59	A	§­êng Nghª Gi¸p b¸n shop ®­îc bao nhiªu l­îng?	6250 l­îng	6500 l­îng 	6750 l­îng	7000 l­îng
60	A	Ph¸i nµo ph¶i ®i thuyÒn míi qua ®­îc?	Thiªn V­¬ng Bang	Nga My	§­êng M«n	C¸i Bang
61	A	Háa §­êng ®­êng chñ cña Thiªn NhÉn Gi¸o lµ ai?	Ngét Ng¹o	Hoang Nhan TuyÕt Y	Gia LuËt TÞ Ly	§oan Méc DuÖ
62	A	NPC cña ph¸i nµo cã ®øa con bÞ thÊt l¹c trªn Vâ §ang?	Ngò §éc	C«n Lu©n	Thóy Yªn	Vâ §ang
63	A	Ai lµ ng­êi mµ thËp ®¹i m«n ph¸i ®Òu kÝnh phôc?	§éc Hå KiÕm	Tõ Nh©n Ph­¬ng Tr­îng	Thanh HiÓu S­ Th¸i	Yªn HiÓu Tr¸i
64	A	Ai lµ ng­êi ng«ng cuång nhÊt?	TuyÒn C¬ Tö	§­êng Cõu	D­¬ng Anh	Hoµng Nhan Hïng LiÖt
65	A	2 nh©n vËt lÇn ®Çu tiªn kÕt h«n sÏ nhËn ®­îc?	NhÉn	D©y chuyÒn	Ngäc béi	¸o
66	A	Mang 1 bé Thiªn Hoµng kh«ng max ®­îc bao nhiªu may m¾n?	TÊt c¶ c©u tr¶ lêi trªn ®Òu sai	36	27	45
67	A	PK9 ra tï tèn bao nhiªu l­îng?	81 v¹n	54 v¹n	9 v¹n	18 v¹n
68	A	Nh÷ng n¬i nµo sau ®©y b¸n c¸c lo¹i vËt phÈm mµ tÊt c¶ ®Òu sö dông ®­îc trªn Vi S¬n §¶o?	HiÖu thuèc	Thî RÌn	TiÖm t¹p hãa	Kh«ng ë n¬i nµo c¶
69	A	Tõ 15h ®Õn hÕt ngµy cã bao nhiªu trËn Tèng Kim?	5	6	7	4
70	A	Hoµn thµnh nhiÖm vô phô tuyÕn trong kho¶ng cÊp bao nhiªu sÏ ®­îc phÇn th­ëng Kim Phong Tr¹c Liªn Quang?	20-30	40-50	30-40	50-60
71	A	Trong Tèng Kim, nh©n vËt khi chÕt cã bÞ mÊt tiÒn vµ ®iÓm kinh nghiÖm hay kh«ng?	Kh«ng	Cã		
72	A	§Ó ®i Phong L¨ng §é ng­êi ch¬i cÇn nh÷ng vËt phÈm g×?	LÖnh bµi Phong L¨ng §é	300 tÊm MËt §å ThÇn BÝ	TÊt c¶ c©u tr¶ lêi ®Òu sai	100 v¹n l­îng
73	A	§Ó ®i Vi S¬n §¶o nh©n vËt cÇn nh÷ng vËt phÈm g×?	TÊt c¶ c©u tr¶ lêi trªn ®Òu sai	500 tÊm MËt §å ThÇn BÝ	LÖnh Bµi Phong L¨ng §é	200 v¹n l­îng
74	A	Cã bao nhiªu thµnh b¸n ngùa Tóc S­¬ng?	2	1	3	4
75	A	Trong Tèng Kim, khi b¹n ®­îc phong lµ HiÖu óy b¹n sÏ ®­îc tÆng nh÷ng g×?	Sinh lùc t¨ng 20%	Sinh lùc t¨ng 10%	Sinh lùc t¨ng 30%	Sinh lùc t¨ng 40%
76	A	Trong Tèng Kim, khi b¹n ®­îc phong lµ Thèng LÜnh b¹n sÏ ®­îc tÆng nh÷ng g×?	TÊt c¶ ®Òu ®óng	Sinh lùc t¨ng 30%	Phßng thñ 5%	
77	A	Trong Tèng Kim, khi b¹n ®­îc phong lµ Phã T­íng b¹n sÏ ®­îc tÆng nh÷ng g×?	TÊt c¶ ®Òu ®óng	Phßng thñ t¨ng 10%	Sinh lùc t¨ng 40%	
78	A	KÕt thóc mét trËn Tèng Kim bªn th¾ng ®­îc bao nhiªu ®iÓm th­ëng?	1200 ®iÓm vµ 3 ®iÓm danh väng	1200 ®iÓm	600 ®iÓm	
79	A	KÕt thóc mét trËn Tèng Kim bªn thua ®­îc bao nhiªu ®iÓm th­ëng?	600 ®iÓm	1000 ®iÓm	1200 ®iÓm vµ 3 ®iÓm danh väng	600 ®iÓm vµ 3 ®iÓm danh väng
80	A	Ph¸i nµo cã tèc ®é ®¸nh nhanh nhÊt?	§­êng M«n	Thóy Yªn	Thiªn V­¬ng 	Vâ §ang
81	A	Ph¸i nµo cã tèc ®é ®¸nh chËm nhÊt?	Thiªn V­¬ng 	Thóy Yªn	§­êng M«n	Vâ §ang
82	A	Trong mét ngµy nh©n vËt cã thÓ lµm tèi ®a bao nhiªu nhiÖm vô D· TÈu?	40	50	60	70
83	A	D· TÈu cã tèi ®a bao nhiªu nhiÖm vô?	8000	7000	6000	9000
84	A	Chñ TiÒn Trang ë c¸c thµnh thÞ b¸n vËt phÈm g× (trõ L©m An)?	Bao l× x×	Phi Phong	¸o Mõng Tuæi	¸o Míi
