key	value
G_CONFIRM_WORD	确定
G_STR_YES	是的
G_STR_CANCEL	取消
G_NO_WORD	无
G_ACCEPT_WORD	同意
G_REFUSE_WORD	拒绝
G_LOOKOVER_WORD	查看
G_IGNORE_WORD	忽略
G_GOTO_WORD	定位
G_DONT_GO	不去

G_MSG_EXCHANGE_FAIL	前方路途不太通畅，还是过会再来吧。

G_BLACKLIST_UNITNAME	黑名单
G_GSCHANGEDNOTIFY_0	请输入对方名字:
G_GSCHANGEDNOTIFY_1	%s 被加入黑名单。
G_GSCHANGEDNOTIFY_2	抱歉, 频道还未开放,消息无法发到!
G_GSCHANGEDNOTIFY_3	%s不在游戏中，他(/她)在下次上线时才会收到您刚才发送的消息。
G_GSCHANGEDNOTIFY_4	抱歉, %s 不在游戏中,消息无法发到!
G_GSCHANGEDNOTIFY_5	发送于[%02d:%02d %d/%d]: 
G_GSCHANGEDNOTIFY_6	GM频道说话，请在前面输入\"[gm]\"

G_SHORTCUTKEY_0	取消离线时消息转发。
G_SHORTCUTKEY_1	设置离线时转发消息给%s！
G_SHORTCUTKEY_2	设置把消息转发给%s！\n输入 /OfflineTrans 可以取消设置。
G_SHORTCUTKEY_3	游戏设为3D模式，重新启动游戏后生效。
G_SHORTCUTKEY_4	游戏设为2D模式，重新启动游戏后生效。
G_SHORTCUTKEY_5	游戏设定改变为全屏运行，将在下次启动游戏的时候生效。
G_SHORTCUTKEY_6	游戏设定改变为窗口运行，将在下次启动游戏的时候生效。

G_CHATPHRASE_0	可能此刻我正离开，无法回复你！
G_CHATPHRASE_1	练功中，请勿打扰！
G_CHATPHRASE_2	我吃饭去了，一会儿再联系！
G_CHATPHRASE_3	我有事离开一会儿，过会儿再找我！

G_UiChatPhrase_0	请勿使用不合适的词语!
G_UiChatPhrase_1	启用自动回复。
G_UiChatPhrase_2	取消自动回复。
G_UiChatPhrase_3	经验 %I64d/%I64d
G_UiChatPhrase_4	练功
G_UiChatPhrase_5	战斗
G_UiChatPhrase_6	屠杀

G_DEFAULT_FORMAT_STRING	XXXXXXXX万XXXX两

G_UiChatCentre_0	新建组
G_UiChatCentre_1	重命名组
G_UiChatCentre_2	删除组
G_UiChatCentre_3	发送消息
G_UiChatCentre_4	删除
G_UiChatCentre_5	移动到其它组
G_UiChatCentre_6	其它
G_UiChatCentre_7	输入新的组名称
G_UiChatCentre_8	输入新组的名称

G_UIGAME_0	聊天
G_UIGAME_1	好友
G_UIGAME_2	交易
G_UIGAME_3	入队
G_UIGAME_4	组队
G_UIGAME_5	跟随
G_UIGAME_6	信息
G_UIGAME_7	帮会
G_UIGAME_8	仇杀
G_UIGAME_9	送钱
G_UIGAME_10	公频关键字
G_UIGAME_11	离开队伍
G_UIGAME_12	踢出队伍
G_UIGAME_13	坐标定位
G_UIGAME_14	申请入帮
G_UIGAME_15	踢下线
G_ITEM_GOLDCOIN	XXXXXX万XXXX
G_ITEM_ENERGY	X,XXX,XXX,XXX
G_TIME_0	夜半
G_TIME_1	鸡鸣
G_TIME_2	平旦
G_TIME_3	日出
G_TIME_4	食时
G_TIME_5	隅中
G_TIME_6	日中
G_TIME_7	日昳
G_TIME_8	晡时
